name,male_percent
nagihan,0
gulistan,0
gulser,0
asim,100
sefa,83
banu,0
ilhami,100
fethiye,0
nesibe,0
sevcan,1
gulnaz,0
vahide,0
resit,100
akin,100
yurdagul,0
nurullah,100
berna,0
caner,99
busra,0
belgin,1
fevziye,0
bedia,0
didem,0
zulfiye,0
baki,100
veysi,100
nadire,0
rafet,97
selver,3
emrullah,100
nalan,0
oya,0
leman,0
munire,0
gulden,0
nusret,96
nizamettin,100
necip,100
sabahattin,100
adalet,3
ceylan,13
olcay,66
gurkan,99
eren,94
nail,100
ozan,100
cicek,0
refik,100
elvan,25
tekin,100
mutlu,82
gungor,62
necmi,100
neziha,0
nurhayat,0
seyhmus,100
ese,3
alaattin,100
emir,51
aygul,0
galip,100
gizem,0
resat,100
serdal,99
zeynel,100
oguzhan,100
cumali,100
husamettin,100
gozde,0
siddika,0
fehime,0
rasit,100
tulin,0
hidir,100
cemalettin,100
berrin,0
gazi,99
bircan,17
abidin,100
fethi,100
pelin,0
halim,93
muruvvet,0
nadir,98
talip,100
selvi,0
tugce,0
gulhanim,0
sevki,99
firdes,0
alev,2
siddik,98
hasim,100
mesude,0
haluk,100
hamiyet,0
nefise,0
cahide,0
teslime,0
mumin,99
gursel,83
zarife,0
mert,100
saim,100
mukerrem,13
halide,0
gulumser,0
gurbet,2
senel,40
menekse,0
gunes,10
sehriban,0
guven,96
ummahan,0
atiye,0
ergin,99
avni,100
kadri,100
ender,94
bilge,9
miyase,0
abdulkerim,100
lale,0
sermin,0
basri,100
aslan,100
gulbeyaz,0
cavit,100
yadigar,11
bahadir,100
murvet,1
omur,57
ethem,100
koray,99
semsi,10
cansu,1
mukadder,8
necibe,0
ozden,24
secil,1
seyma,0
binnaz,0
semsettin,100
mikail,100
aslihan,0
sennur,0
esat,100
sener,90
lokman,100
mujgan,0
nergiz,0
kerime,0
ezgi,1
ozer,99
zerrin,0
mensure,0
turhan,99
gulsun,0
nazime,0
pervin,0
mursel,94
mithat,100
melih,100
abdurrahim,100
temel,100
naim,100
sefik,100
mualla,0
arslan,100
evren,84
huru,0
selin,0
kamuran,56
refika,0
sabire,0
latif,100
kiraz,0
caglar,93
gulperi,0
behice,0
buket,0
sezer,68
aytekin,98
fazli,100
uzeyir,100
sadi,99
gonca,0
sukruye,0
nazif,99
mucahit,100
seyda,2
ayise,0
huri,0
sunay,23
samiye,0
tuncer,100
selman,92
abbas,100
hulusi,100
ulviye,0
rustem,100
ergul,40
kaya,93
saffet,80
celalettin,100
esengul,0
nevriye,0
burcin,19
sariye,0
vahit,100
recai,100
fazilet,0
yildirim,100
anil,86
sitki,100
goksel,86
mecit,100
imran,21
abuzer,100
guzel,9
cihat,100
kaan,100
safak,66
cumhur,99
talat,99
altun,2
hicran,1
sundus,0
enes,100
resmiye,0
eylem,3
nuh,100
emriye,0
nazik,0
eray,96
feyzullah,100
behcet,100
ikbal,7
fatmana,0
muge,0
cevahir,7
nilay,0
gultekin,90
edibe,0
duriye,0
aytac,88
feyzi,100
celil,100
muradiye,0
sadet,7
cenk,100
sevgul,0
islim,0
muhterem,47
seyfi,100
ferda,11
ersan,99
hande,0
solmaz,2
unzile,0
ayser,0
koksal,99
hazal,0
gulnur,0
iskender,100
seckin,82
besir,100
atila,100
ulker,4
jale,0
guleser,0
muyesser,0
beytullah,100
esen,10
tufan,100
sedef,0
dervis,100
aycan,17
nadiye,0
ferhan,41
ishak,100
alaettin,100
vasfiye,0
hasret,13
kibar,8
gokce,13
mihriban,0
bahtiyar,76
okkes,100
feriha,0
nejdet,100
izzettin,100
damla,0
sumeyra,0
durkadin,0
namik,100
edip,99
nezihe,0
bedri,98
ece,0
husna,0
hayrullah,100
fulya,0
abdulaziz,100
imdat,99
cagri,92
fatima,0
nebiye,0
gulustan,0
ceren,1
isil,1
habip,100
yildiray,100
lutfu,100
tenzile,0
gurcan,76
necat,98
atike,0
nebi,100
sehmus,100
nezir,100
nedime,0
yagmur,6
sadullah,100
tacettin,100
himmet,99
memnune,0
menderes,100
abdulbaki,100
mete,100
basak,1
mumine,0
seyran,2
sebnem,0
feridun,100
zuhre,0
vehbi,100
raif,100
gulluzar,0
gulfidan,0
yener,99
kahraman,100
nadide,0
askin,83
sare,0
sacide,0
gazal,1
birsel,1
mulkiye,0
kursat,100
fusun,0
seydi,97
masallah,61
ceyhun,98
mercan,4
alpaslan,100
bora,100
kamer,20
ferdane,0
numan,100
narin,1
sinasi,100
salihe,0
eser,69
